2022-09-09 14:29:15,111 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[C:\Users\Student\Desktop\TH_tuan2\apache-activemq-5.17.1\bin\win64\..\..\data\kahadb] | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2022-09-09 14:29:16,892 | INFO  | PListStore:[C:\Users\Student\Desktop\TH_tuan2\apache-activemq-5.17.1\bin\win64\..\..\data\localhost\tmp_storage] started | org.apache.activemq.store.kahadb.plist.PListStoreImpl | WrapperSimpleAppMain
2022-09-09 14:29:17,043 | INFO  | Apache ActiveMQ 5.17.1 (localhost, ID:H83M15-49994-1662708556901-0:1) is starting | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2022-09-09 14:29:17,071 | INFO  | Listening for connections at: tcp://H83M15:61616?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | WrapperSimpleAppMain
2022-09-09 14:29:17,071 | INFO  | Connector openwire started | org.apache.activemq.broker.TransportConnector | WrapperSimpleAppMain
2022-09-09 14:29:17,074 | INFO  | Listening for connections at: amqp://H83M15:5672?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | WrapperSimpleAppMain
2022-09-09 14:29:17,074 | INFO  | Connector amqp started | org.apache.activemq.broker.TransportConnector | WrapperSimpleAppMain
2022-09-09 14:29:17,076 | INFO  | Listening for connections at: stomp://H83M15:61613?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | WrapperSimpleAppMain
2022-09-09 14:29:17,077 | INFO  | Connector stomp started | org.apache.activemq.broker.TransportConnector | WrapperSimpleAppMain
2022-09-09 14:29:17,079 | INFO  | Listening for connections at: mqtt://H83M15:1883?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | WrapperSimpleAppMain
2022-09-09 14:29:17,079 | INFO  | Connector mqtt started | org.apache.activemq.broker.TransportConnector | WrapperSimpleAppMain
2022-09-09 14:29:17,082 | INFO  | Starting Jetty server | org.apache.activemq.transport.WebTransportServerSupport | WrapperSimpleAppMain
2022-09-09 14:29:17,170 | INFO  | Creating Jetty connector | org.apache.activemq.transport.WebTransportServerSupport | WrapperSimpleAppMain
2022-09-09 14:29:17,217 | WARN  | ServletContext@o.e.j.s.ServletContextHandler@6444ae28{/,null,STARTING} has uncovered http methods for path: / | org.eclipse.jetty.security.SecurityHandler | WrapperSimpleAppMain
2022-09-09 14:29:17,310 | INFO  | Listening for connections at ws://H83M15:61614?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.ws.WSTransportServer | WrapperSimpleAppMain
2022-09-09 14:29:17,310 | INFO  | Connector ws started | org.apache.activemq.broker.TransportConnector | WrapperSimpleAppMain
2022-09-09 14:29:17,311 | INFO  | Apache ActiveMQ 5.17.1 (localhost, ID:H83M15-49994-1662708556901-0:1) started | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2022-09-09 14:29:17,311 | INFO  | For help or more information please see: http://activemq.apache.org | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2022-09-09 14:29:17,805 | INFO  | ActiveMQ WebConsole available at http://127.0.0.1:8161/ | org.apache.activemq.web.WebConsoleStarter | WrapperSimpleAppMain
2022-09-09 14:29:17,805 | INFO  | ActiveMQ Jolokia REST API available at http://127.0.0.1:8161/api/jolokia/ | org.apache.activemq.web.WebConsoleStarter | WrapperSimpleAppMain
